Calendar year,State/territory,School sector,School level,Student-teacher ratio
2019,New South Wales,Independent,Primary,13.6
2019,New South Wales,Independent,Secondary,10.0
2019,New South Wales,Independent,All,11.4
2019,New South Wales,All non-government,Primary,15.3
2019,New South Wales,All non-government,Secondary,11.2
2019,New South Wales,All non-government,All,12.9
2019,New South Wales,All,Primary,16.3
2019,New South Wales,All,Secondary,12.7
2019,New South Wales,All,All,14.5
2019,Victoria,Government,Primary,14.4
2019,Victoria,Government,Secondary,12.3
2019,Victoria,Government,All,13.5
2019,Victoria,Catholic,Primary,14.4
2019,Victoria,Catholic,Secondary,12.2
2019,Victoria,Catholic,All,13.3
2019,Victoria,Independent,Primary,12.6
2019,Victoria,Independent,Secondary,9.6
2019,Victoria,Independent,All,10.7
2019,Victoria,All non-government,Primary,13.7
2019,Victoria,All non-government,Secondary,10.8
2019,Victoria,All non-government,All,12.1
2019,Victoria,All,Primary,14.2
2019,Victoria,All,Secondary,11.6
2019,Victoria,All,All,13.0
2019,Queensland,Government,Primary,14.3
2019,Queensland,Government,Secondary,12.1
2019,Queensland,Government,All,13.3
2019,Queensland,Catholic,Primary,16.3
2019,Queensland,Catholic,Secondary,12.1
2019,Queensland,Catholic,All,14.0
2019,Queensland,Independent,Primary,15.4
2019,Queensland,Independent,Secondary,11.8
2019,Queensland,Independent,All,13.2
2019,Queensland,All non-government,Primary,15.9
2019,Queensland,All non-government,Secondary,11.9
2019,Queensland,All non-government,All,13.6
2019,Queensland,All,Primary,14.7
2019,Queensland,All,Secondary,12.1
2019,Queensland,All,All,13.4
2019,South Australia,Government,Primary,14.5
2019,South Australia,Government,Secondary,12.7
2019,South Australia,Government,All,13.8
2019,South Australia,Catholic,Primary,15.2
2019,South Australia,Catholic,Secondary,13.2
2019,South Australia,Catholic,All,14.3
2019,South Australia,Independent,Primary,13.8
2019,South Australia,Independent,Secondary,11.6
2019,South Australia,Independent,All,12.6
2019,South Australia,All non-government,Primary,14.5
2019,South Australia,All non-government,Secondary,12.3
2019,South Australia,All non-government,All,13.3
2019,South Australia,All,Primary,14.5
2019,South Australia,All,Secondary,12.5
2019,South Australia,All,All,13.6
2019,Western Australia,Government,Primary,15.8
2019,Western Australia,Government,Secondary,12.8
2019,Western Australia,Government,All,14.6
2019,Western Australia,Catholic,Primary,16.2
2019,Western Australia,Catholic,Secondary,12.6
2019,Western Australia,Catholic,All,14.2
2019,Western Australia,Independent,Primary,13.4
2019,Western Australia,Independent,Secondary,10.9
2019,Western Australia,Independent,All,11.8
2019,Western Australia,All non-government,Primary,14.9
2019,Western Australia,All non-government,Secondary,11.6
2019,Western Australia,All non-government,All,13.0
2019,Western Australia,All,Primary,15.6
2019,Western Australia,All,Secondary,12.3
2019,Western Australia,All,All,14.0
2019,Tasmania,Government,Primary,14.4
2019,Tasmania,Government,Secondary,12.7
2019,Tasmania,Government,All,13.7
2019,Tasmania,Catholic,Primary,15.5
2019,Tasmania,Catholic,Secondary,12.1
2019,Tasmania,Catholic,All,13.7
2019,Tasmania,Independent,Primary,12.6
2019,Tasmania,Independent,Secondary,9.6
2019,Tasmania,Independent,All,10.8
2019,Tasmania,All non-government,Primary,14.3
2019,Tasmania,All non-government,Secondary,10.9
2019,Tasmania,All non-government,All,12.4
2019,Tasmania,All,Primary,14.4
2019,Tasmania,All,Secondary,12.0
2019,Tasmania,All,All,13.3
2019,Northern Territory,Government,Primary,11.8
2019,Northern Territory,Government,Secondary,11.9
2019,Northern Territory,Government,All,11.8
2019,Northern Territory,Catholic,Primary,12.4
2019,Northern Territory,Catholic,Secondary,10.8
2019,Northern Territory,Catholic,All,11.6
2019,Northern Territory,Independent,Primary,14.4
2019,Northern Territory,Independent,Secondary,10.2
2019,Northern Territory,Independent,All,11.9
2019,Northern Territory,All non-government,Primary,13.4
2019,Northern Territory,All non-government,Secondary,10.5
2019,Northern Territory,All non-government,All,11.8
2019,Northern Territory,All,Primary,12.1
2019,Northern Territory,All,Secondary,11.4
2019,Northern Territory,All,All,11.8
2019,Australian Capital Territory,Government,Primary,14.0
2019,Australian Capital Territory,Government,Secondary,12.3
2019,Australian Capital Territory,Government,All,13.3
2019,Australian Capital Territory,Catholic,Primary,17.1
2019,Australian Capital Territory,Catholic,Secondary,12.8
2019,Australian Capital Territory,Catholic,All,14.7
2019,Australian Capital Territory,Independent,Primary,14.0
2019,Australian Capital Territory,Independent,Secondary,10.3
2019,Australian Capital Territory,Independent,All,11.8
2019,Australian Capital Territory,All non-government,Primary,15.8
2019,Australian Capital Territory,All non-government,Secondary,11.7
2019,Australian Capital Territory,All non-government,All,13.5
2019,Australian Capital Territory,All,Primary,14.6
2019,Australian Capital Territory,All,Secondary,12.0
2019,Australian Capital Territory,All,All,13.4
2019,Australia,Government,Primary,15.2
2019,Australia,Government,Secondary,12.8
2019,Australia,Government,All,14.2
2019,Australia,Catholic,Primary,15.7
2019,Australia,Catholic,Secondary,12.3
2019,Australia,Catholic,All,13.9
2019,Australia,Independent,Primary,13.7
2019,Australia,Independent,Secondary,10.4
2019,Australia,Independent,All,11.7
2019,Australia,All non-government,Primary,14.8
2019,Australia,All non-government,Secondary,11.4
2019,Australia,All non-government,All,12.8
2019,Australia,All,Primary,15.1
2019,Australia,All,Secondary,12.2
2019,Australia,All,All,13.7
2018,New South Wales,Government,Primary,15.4
2018,New South Wales,Government,Secondary,12.3
2018,New South Wales,Government,All,14.1
2018,New South Wales,Catholic,Primary,16.9
2018,New South Wales,Catholic,Secondary,12.4
2018,New South Wales,Catholic,All,14.3
2018,New South Wales,Independent,Primary,13.6
2018,New South Wales,Independent,Secondary,10.0
2018,New South Wales,Independent,All,11.4
2018,New South Wales,All non-government,Primary,15.5
2018,New South Wales,All non-government,Secondary,11.3
2018,New South Wales,All non-government,All,13.0
2018,New South Wales,All,Primary,15.4
2018,New South Wales,All,Secondary,11.9
2018,New South Wales,All,All,13.7
2018,Victoria,Government,Primary,14.6
2018,Victoria,Government,Secondary,12.1
2018,Victoria,Government,All,13.5
2018,Victoria,Catholic,Primary,14.7
2018,Victoria,Catholic,Secondary,12.2
2018,Victoria,Catholic,All,13.5
2018,Victoria,Independent,Primary,12.6
2018,Victoria,Independent,Secondary,9.7
2018,Victoria,Independent,All,10.7
2018,Victoria,All non-government,Primary,13.9
2018,Victoria,All non-government,Secondary,10.9
2018,Victoria,All non-government,All,12.2
2018,Victoria,All,Primary,14.3
2018,Victoria,All,Secondary,11.6
2018,Victoria,All,All,13.0
2018,Queensland,Government,Primary,14.2
2018,Queensland,Government,Secondary,12.2
2018,Queensland,Government,All,13.4
2018,Queensland,Catholic,Primary,16.4
2018,Queensland,Catholic,Secondary,12.2
2018,Queensland,Catholic,All,14.2
2018,Queensland,Independent,Primary,15.3
2018,Queensland,Independent,Secondary,11.7
2018,Queensland,Independent,All,13.1
2018,Queensland,All non-government,Primary,15.9
2018,Queensland,All non-government,Secondary,12.0
2018,Queensland,All non-government,All,13.7
2018,Queensland,All,Primary,14.7
2018,Queensland,All,Secondary,12.1
2018,Queensland,All,All,13.5
2018,South Australia,Government,Primary,14.5
2018,South Australia,Government,Secondary,12.7
2018,South Australia,Government,All,13.8
2018,South Australia,Catholic,Primary,16.9
2018,South Australia,Catholic,Secondary,11.6
2018,South Australia,Catholic,All,14.3
2018,South Australia,Independent,Primary,16.2
2018,South Australia,Independent,Secondary,10.1
2018,South Australia,Independent,All,12.9
2018,South Australia,All non-government,Primary,16.5
2018,South Australia,All non-government,Secondary,10.8
2018,South Australia,All non-government,All,13.5
2018,South Australia,All,Primary,15.1
2018,South Australia,All,Secondary,11.9
2018,South Australia,All,All,13.7
2018,Western Australia,Government,Primary,15.7
2018,Western Australia,Government,Secondary,12.6
2018,Western Australia,Government,All,14.4
2018,Western Australia,Catholic,Primary,16.4
2018,Western Australia,Catholic,Secondary,12.6
2018,Western Australia,Catholic,All,14.3
2018,Western Australia,Independent,Primary,13.3
2018,Western Australia,Independent,Secondary,10.8
2018,Western Australia,Independent,All,11.8
2018,Western Australia,All non-government,Primary,14.9
2018,Western Australia,All non-government,Secondary,11.6
2018,Western Australia,All non-government,All,13.0
2018,Western Australia,All,Primary,15.5
2018,Western Australia,All,Secondary,12.2
2018,Western Australia,All,All,13.9
2018,Tasmania,Government,Primary,14.8
2018,Tasmania,Government,Secondary,12.9
2018,Tasmania,Government,All,13.9
2018,Tasmania,Catholic,Primary,16.6
2018,Tasmania,Catholic,Secondary,12.3
2018,Tasmania,Catholic,All,14.2
2018,Tasmania,Independent,Primary,12.5
2018,Tasmania,Independent,Secondary,9.6
2018,Tasmania,Independent,All,10.7
2018,Tasmania,All non-government,Primary,14.9
2018,Tasmania,All non-government,Secondary,11.0
2018,Tasmania,All non-government,All,12.6
2018,Tasmania,All,Primary,14.8
2018,Tasmania,All,Secondary,12.2
2018,Tasmania,All,All,13.5
2018,Northern Territory,Government,Primary,12.6
2018,Northern Territory,Government,Secondary,12.1
2018,Northern Territory,Government,All,12.4
2018,Northern Territory,Catholic,Primary,13.6
2018,Northern Territory,Catholic,Secondary,10.2
2018,Northern Territory,Catholic,All,11.7
2018,Northern Territory,Independent,Primary,15.5
2018,Northern Territory,Independent,Secondary,10.7
2018,Northern Territory,Independent,All,12.6
2018,Northern Territory,All non-government,Primary,14.6
2018,Northern Territory,All non-government,Secondary,10.5
2018,Northern Territory,All non-government,All,12.2
2018,Northern Territory,All,Primary,13.0
2018,Northern Territory,All,Secondary,11.5
2018,Northern Territory,All,All,12.3
2018,Australian Capital Territory,Government,Primary,14.9
2018,Australian Capital Territory,Government,Secondary,12.3
2018,Australian Capital Territory,Government,All,13.7
2018,Australian Capital Territory,Catholic,Primary,17.6
2018,Australian Capital Territory,Catholic,Secondary,12.8
2018,Australian Capital Territory,Catholic,All,14.9
2018,Australian Capital Territory,Independent,Primary,14.2
2018,Australian Capital Territory,Independent,Secondary,10.7
2018,Australian Capital Territory,Independent,All,12.2
2018,Australian Capital Territory,All non-government,Primary,16.3
2018,Australian Capital Territory,All non-government,Secondary,11.9
2018,Australian Capital Territory,All non-government,All,13.8
2018,Australian Capital Territory,All,Primary,15.3
2018,Australian Capital Territory,All,Secondary,12.1
2018,Australian Capital Territory,All,All,13.7
2018,Australia,Government,Primary,14.8
2018,Australia,Government,Secondary,12.3
2018,Australia,Government,All,13.8
2018,Australia,Catholic,Primary,16.1
2018,Australia,Catholic,Secondary,12.3
2018,Australia,Catholic,All,14.0
2018,Australia,Independent,Primary,13.9
2018,Australia,Independent,Secondary,10.3
2018,Australia,Independent,All,11.7
2018,Australia,All non-government,Primary,15.1
2018,Australia,All non-government,Secondary,11.3
2018,Australia,All non-government,All,12.9
2018,Australia,All,Primary,14.9
2018,Australia,All,Secondary,11.9
2018,Australia,All,All,13.5
2017,New South Wales,Government,Primary,15.8
2017,New South Wales,Government,Secondary,12.4
2017,New South Wales,Government,All,14.2
2017,New South Wales,Catholic,Primary,17.2
2017,New South Wales,Catholic,Secondary,12.6
2017,New South Wales,Catholic,All,14.6
2017,New South Wales,Independent,Primary,13.9
2017,New South Wales,Independent,Secondary,10.0
2017,New South Wales,Independent,All,11.6
2017,New South Wales,All non-government,Primary,15.8
2017,New South Wales,All non-government,Secondary,11.4
2017,New South Wales,All non-government,All,13.2
2017,New South Wales,All,Primary,15.8
2017,New South Wales,All,Secondary,11.9
2017,New South Wales,All,All,13.9
2017,Victoria,Government,Primary,14.8
2017,Victoria,Government,Secondary,12.3
2017,Victoria,Government,All,13.7
2017,Victoria,Catholic,Primary,15.0
2017,Victoria,Catholic,Secondary,12.4
2017,Victoria,Catholic,All,13.6
2017,Victoria,Independent,Primary,12.8
2017,Victoria,Independent,Secondary,9.7
2017,Victoria,Independent,All,10.8
2017,Victoria,All non-government,Primary,14.1
2017,Victoria,All non-government,Secondary,11.0
2017,Victoria,All non-government,All,12.3
2017,Victoria,All,Primary,14.6
2017,Victoria,All,Secondary,11.7
2017,Victoria,All,All,13.2
2017,Queensland,Government,Primary,14.4
2017,Queensland,Government,Secondary,12.4
2017,Queensland,Government,All,13.6
2017,Queensland,Catholic,Primary,16.6
2017,Queensland,Catholic,Secondary,12.4
2017,Queensland,Catholic,All,14.4
2017,Queensland,Independent,Primary,15.3
2017,Queensland,Independent,Secondary,11.8
2017,Queensland,Independent,All,13.2
2017,Queensland,All non-government,Primary,16.0
2017,Queensland,All non-government,Secondary,12.1
2017,Queensland,All non-government,All,13.8
2017,Queensland,All,Primary,14.9
2017,Queensland,All,Secondary,12.3
2017,Queensland,All,All,13.6
2017,South Australia,Government,Primary,14.6
2017,South Australia,Government,Secondary,12.9
2017,South Australia,Government,All,14.0
2017,South Australia,Catholic,Primary,16.5
2017,South Australia,Catholic,Secondary,12.0
2017,South Australia,Catholic,All,14.3
2017,South Australia,Independent,Primary,15.2
2017,South Australia,Independent,Secondary,10.5
2017,South Australia,Independent,All,12.7
2017,South Australia,All non-government,Primary,15.9
2017,South Australia,All non-government,Secondary,11.2
2017,South Australia,All non-government,All,13.5
2017,South Australia,All,Primary,15.0
2017,South Australia,All,Secondary,12.2
2017,South Australia,All,All,13.8
2017,Western Australia,Government,Primary,15.6
2017,Western Australia,Government,Secondary,12.4
2017,Western Australia,Government,All,14.2
2017,Western Australia,Catholic,Primary,16.5
2017,Western Australia,Catholic,Secondary,12.7
2017,Western Australia,Catholic,All,14.4
2017,Western Australia,Independent,Primary,13.5
2017,Western Australia,Independent,Secondary,11.1
2017,Western Australia,Independent,All,12.0
2017,Western Australia,All non-government,Primary,15.1
2017,Western Australia,All non-government,Secondary,11.8
2017,Western Australia,All non-government,All,13.2
2017,Western Australia,All,Primary,15.4
2017,Western Australia,All,Secondary,12.1
2017,Western Australia,All,All,13.8
2017,Tasmania,Government,Primary,14.8
2017,Tasmania,Government,Secondary,13.1
2017,Tasmania,Government,All,14.1
2017,Tasmania,Catholic,Primary,16.9
2017,Tasmania,Catholic,Secondary,12.8
2017,Tasmania,Catholic,All,14.7
2017,Tasmania,Independent,Primary,12.7
2017,Tasmania,Independent,Secondary,9.4
2017,Tasmania,Independent,All,10.7
2017,Tasmania,All non-government,Primary,15.1
2017,Tasmania,All non-government,Secondary,11.2
2017,Tasmania,All non-government,All,12.8
2017,Tasmania,All,Primary,14.9
2017,Tasmania,All,Secondary,12.3
2017,Tasmania,All,All,13.7
2017,Northern Territory,Government,Primary,12.3
2017,Northern Territory,Government,Secondary,12.4
2017,Northern Territory,Government,All,12.3
2017,Northern Territory,Catholic,Primary,14.6
2017,Northern Territory,Catholic,Secondary,10.7
2017,Northern Territory,Catholic,All,12.4
2017,Northern Territory,Independent,Primary,14.5
2017,Northern Territory,Independent,Secondary,10.4
2017,Northern Territory,Independent,All,12.0
2017,Northern Territory,All non-government,Primary,14.6
2017,Northern Territory,All non-government,Secondary,10.5
2017,Northern Territory,All non-government,All,12.2
2017,Northern Territory,All,Primary,12.7
2017,Northern Territory,All,Secondary,11.6
2017,Northern Territory,All,All,12.3
2017,Australian Capital Territory,Government,Primary,15.0
2017,Australian Capital Territory,Government,Secondary,11.9
2017,Australian Capital Territory,Government,All,13.6
2017,Australian Capital Territory,Catholic,Primary,17.4
2017,Australian Capital Territory,Catholic,Secondary,13.3
2017,Australian Capital Territory,Catholic,All,15.2
2017,Australian Capital Territory,Independent,Primary,13.8
2017,Australian Capital Territory,Independent,Secondary,10.3
2017,Australian Capital Territory,Independent,All,11.8
2017,Australian Capital Territory,All non-government,Primary,16.0
2017,Australian Capital Territory,All non-government,Secondary,12.0
2017,Australian Capital Territory,All non-government,All,13.8
2017,Australian Capital Territory,All,Primary,15.4
2017,Australian Capital Territory,All,Secondary,11.9
2017,Australian Capital Territory,All,All,13.6
2017,Australia,Government,Primary,15.0
2017,Australia,Government,Secondary,12.4
2017,Australia,Government,All,13.9
2017,Australia,Catholic,Primary,16.3
2017,Australia,Catholic,Secondary,12.5
2017,Australia,Catholic,All,14.2
2017,Australia,Independent,Primary,14.0
2017,Australia,Independent,Secondary,10.4
2017,Australia,Independent,All,11.8
2017,Australia,All non-government,Primary,15.3
2017,Australia,All non-government,Secondary,11.4
2017,Australia,All non-government,All,13.1
2017,Australia,All,Primary,15.1
2017,Australia,All,Secondary,12.0
2017,Australia,All,All,13.6
2016,New South Wales,Government,Primary,15.6
2016,New South Wales,Government,Secondary,12.5
2016,New South Wales,Government,All,14.3
2016,New South Wales,Catholic,Primary,17.6
2016,New South Wales,Catholic,Secondary,12.7
2016,New South Wales,Catholic,All,14.8
2016,New South Wales,Independent,Primary,14.0
2016,New South Wales,Independent,Secondary,10.1
2016,New South Wales,Independent,All,11.6
2016,New South Wales,All non-government,Primary,16.1
2016,New South Wales,All non-government,Secondary,11.5
2016,New South Wales,All non-government,All,13.4
2016,New South Wales,All,Primary,15.8
2016,New South Wales,All,Secondary,12.1
2016,New South Wales,All,All,14.0
2016,Victoria,Government,Primary,14.8
2016,Victoria,Government,Secondary,12.5
2016,Victoria,Government,All,13.8
2016,Victoria,Catholic,Primary,15.1
2016,Victoria,Catholic,Secondary,12.5
2016,Victoria,Catholic,All,13.8
2016,Victoria,Independent,Primary,12.7
2016,Victoria,Independent,Secondary,9.5
2016,Victoria,Independent,All,10.6
2016,Victoria,All non-government,Primary,14.2
2016,Victoria,All non-government,Secondary,11.0
2016,Victoria,All non-government,All,12.3
2016,Victoria,All,Primary,14.6
2016,Victoria,All,Secondary,11.8
2016,Victoria,All,All,13.2
2016,Queensland,Government,Primary,14.5
2016,Queensland,Government,Secondary,12.5
2016,Queensland,Government,All,13.6
2016,Queensland,Catholic,Primary,17.0
2016,Queensland,Catholic,Secondary,12.4
2016,Queensland,Catholic,All,14.5
2016,Queensland,Independent,Primary,15.5
2016,Queensland,Independent,Secondary,11.9
2016,Queensland,Independent,All,13.3
2016,Queensland,All non-government,Primary,16.4
2016,Queensland,All non-government,Secondary,12.2
2016,Queensland,All non-government,All,14.0
2016,Queensland,All,Primary,15.0
2016,Queensland,All,Secondary,12.4
2016,Queensland,All,All,13.8
2016,South Australia,Government,Primary,14.9
2016,South Australia,Government,Secondary,13.3
2016,South Australia,Government,All,14.3
2016,South Australia,Catholic,Primary,16.9
2016,South Australia,Catholic,Secondary,12.2
2016,South Australia,Catholic,All,14.5
2016,South Australia,Independent,Primary,15.2
2016,South Australia,Independent,Secondary,10.6
2016,South Australia,Independent,All,12.8
2016,South Australia,All non-government,Primary,16.0
2016,South Australia,All non-government,Secondary,11.3
2016,South Australia,All non-government,All,13.6
2016,South Australia,All,Primary,15.3
2016,South Australia,All,Secondary,12.5
2016,South Australia,All,All,14.1
2016,Western Australia,Government,Primary,15.4
2016,Western Australia,Government,Secondary,12.6
2016,Western Australia,Government,All,14.3
2016,Western Australia,Catholic,Primary,16.8
2016,Western Australia,Catholic,Secondary,12.9
2016,Western Australia,Catholic,All,14.6
2016,Western Australia,Independent,Primary,13.7
2016,Western Australia,Independent,Secondary,11.0
2016,Western Australia,Independent,All,12.0
2016,Western Australia,All non-government,Primary,15.3
2016,Western Australia,All non-government,Secondary,11.9
2016,Western Australia,All non-government,All,13.3
2016,Western Australia,All,Primary,15.4
2016,Western Australia,All,Secondary,12.3
2016,Western Australia,All,All,13.9
2016,Tasmania,Government,Primary,15.0
2016,Tasmania,Government,Secondary,13.2
2016,Tasmania,Government,All,14.2
2016,Tasmania,Catholic,Primary,17.2
2016,Tasmania,Catholic,Secondary,12.9
2016,Tasmania,Catholic,All,14.8
2016,Tasmania,Independent,Primary,12.7
2016,Tasmania,Independent,Secondary,9.6
2016,Tasmania,Independent,All,10.8
2016,Tasmania,All non-government,Primary,15.3
2016,Tasmania,All non-government,Secondary,11.4
2016,Tasmania,All non-government,All,13.0
2016,Tasmania,All,Primary,15.1
2016,Tasmania,All,Secondary,12.5
2016,Tasmania,All,All,13.8
2016,Northern Territory,Government,Primary,12.6
2016,Northern Territory,Government,Secondary,11.9
2016,Northern Territory,Government,All,12.3
2016,Northern Territory,Catholic,Primary,15.0
2016,Northern Territory,Catholic,Secondary,10.7
2016,Northern Territory,Catholic,All,12.6
2016,Northern Territory,Independent,Primary,14.4
2016,Northern Territory,Independent,Secondary,10.0
2016,Northern Territory,Independent,All,11.7
2016,Northern Territory,All non-government,Primary,14.7
2016,Northern Territory,All non-government,Secondary,10.3
2016,Northern Territory,All non-government,All,12.1
2016,Northern Territory,All,Primary,13.0
2016,Northern Territory,All,Secondary,11.2
2016,Northern Territory,All,All,12.2
2016,Australian Capital Territory,Government,Primary,14.7
2016,Australian Capital Territory,Government,Secondary,11.8
2016,Australian Capital Territory,Government,All,13.3
2016,Australian Capital Territory,Catholic,Primary,17.7
2016,Australian Capital Territory,Catholic,Secondary,13.1
2016,Australian Capital Territory,Catholic,All,15.1
2016,Australian Capital Territory,Independent,Primary,13.6
2016,Australian Capital Territory,Independent,Secondary,10.6
2016,Australian Capital Territory,Independent,All,11.9
2016,Australian Capital Territory,All non-government,Primary,16.0
2016,Australian Capital Territory,All non-government,Secondary,12.1
2016,Australian Capital Territory,All non-government,All,13.8
2016,Australian Capital Territory,All,Primary,15.1
2016,Australian Capital Territory,All,Secondary,11.9
2016,Australian Capital Territory,All,All,13.5
2016,Australia,Government,Primary,15.0
2016,Australia,Government,Secondary,12.6
2016,Australia,Government,All,14.0
2016,Australia,Catholic,Primary,16.6
2016,Australia,Catholic,Secondary,12.6
2016,Australia,Catholic,All,14.4
2016,Australia,Independent,Primary,14.0
2016,Australia,Independent,Secondary,10.4
2016,Australia,Independent,All,11.8
2016,Australia,All non-government,Primary,15.5
2016,Australia,All non-government,Secondary,11.5
2016,Australia,All non-government,All,13.2
2016,Australia,All,Primary,15.2
2016,Australia,All,Secondary,12.1
2016,Australia,All,All,13.7
2015,New South Wales,Government,Primary,15.8
2015,New South Wales,Government,Secondary,12.5
2015,New South Wales,Government,All,14.3
2015,New South Wales,Catholic,Primary,17.9
2015,New South Wales,Catholic,Secondary,13.0
2015,New South Wales,Catholic,All,15.1
2015,New South Wales,Independent,Primary,14.0
2015,New South Wales,Independent,Secondary,10.2
2015,New South Wales,Independent,All,11.7
2015,New South Wales,All non-government,Primary,16.3
2015,New South Wales,All non-government,Secondary,11.7
2015,New South Wales,All non-government,All,13.6
2015,New South Wales,All,Primary,15.9
2015,New South Wales,All,Secondary,12.1
2015,New South Wales,All,All,14.0
2015,Victoria,Government,Primary,15.3
2015,Victoria,Government,Secondary,12.6
2015,Victoria,Government,All,14.1
2015,Victoria,Catholic,Primary,15.5
2015,Victoria,Catholic,Secondary,12.6
2015,Victoria,Catholic,All,14.0
2015,Victoria,Independent,Primary,12.9
2015,Victoria,Independent,Secondary,9.6
2015,Victoria,Independent,All,10.7
2015,Victoria,All non-government,Primary,14.5
2015,Victoria,All non-government,Secondary,11.1
2015,Victoria,All non-government,All,12.5
2015,Victoria,All,Primary,15.1
2015,Victoria,All,Secondary,11.9
2015,Victoria,All,All,13.5
2015,Queensland,Government,Primary,14.8
2015,Queensland,Government,Secondary,12.7
2015,Queensland,Government,All,13.9
2015,Queensland,Catholic,Primary,17.2
2015,Queensland,Catholic,Secondary,12.8
2015,Queensland,Catholic,All,14.8
2015,Queensland,Independent,Primary,15.5
2015,Queensland,Independent,Secondary,12.1
2015,Queensland,Independent,All,13.4
2015,Queensland,All non-government,Primary,16.5
2015,Queensland,All non-government,Secondary,12.4
2015,Queensland,All non-government,All,14.2
2015,Queensland,All,Primary,15.2
2015,Queensland,All,Secondary,12.6
2015,Queensland,All,All,14.0
2015,South Australia,Government,Primary,14.9
2015,South Australia,Government,Secondary,13.2
2015,South Australia,Government,All,14.2
2015,South Australia,Catholic,Primary,17.0
2015,South Australia,Catholic,Secondary,12.3
2015,South Australia,Catholic,All,14.7
2015,South Australia,Independent,Primary,15.4
2015,South Australia,Independent,Secondary,10.7
2015,South Australia,Independent,All,12.9
2015,South Australia,All non-government,Primary,16.2
2015,South Australia,All non-government,Secondary,11.5
2015,South Australia,All non-government,All,13.8
2015,South Australia,All,Primary,15.3
2015,South Australia,All,Secondary,12.5
2015,South Australia,All,All,14.1
2015,Western Australia,Government,Primary,15.7
2015,Western Australia,Government,Secondary,13.4
2015,Western Australia,Government,All,14.8
2015,Western Australia,Catholic,Primary,17.3
2015,Western Australia,Catholic,Secondary,13.0
2015,Western Australia,Catholic,All,14.9
2015,Western Australia,Independent,Primary,13.7
2015,Western Australia,Independent,Secondary,11.2
2015,Western Australia,Independent,All,12.2
2015,Western Australia,All non-government,Primary,15.5
2015,Western Australia,All non-government,Secondary,12.1
2015,Western Australia,All non-government,All,13.5
2015,Western Australia,All,Primary,15.7
2015,Western Australia,All,Secondary,12.8
2015,Western Australia,All,All,14.3
2015,Tasmania,Government,Primary,15.4
2015,Tasmania,Government,Secondary,13.4
2015,Tasmania,Government,All,14.5
2015,Tasmania,Catholic,Primary,17.6
2015,Tasmania,Catholic,Secondary,13.1
2015,Tasmania,Catholic,All,15.1
2015,Tasmania,Independent,Primary,12.8
2015,Tasmania,Independent,Secondary,9.5
2015,Tasmania,Independent,All,10.8
2015,Tasmania,All non-government,Primary,15.5
2015,Tasmania,All non-government,Secondary,11.4
2015,Tasmania,All non-government,All,13.1
2015,Tasmania,All,Primary,15.5
2015,Tasmania,All,Secondary,12.6
2015,Tasmania,All,All,14.1
2015,Northern Territory,Government,Primary,13.0
2015,Northern Territory,Government,Secondary,11.9
2015,Northern Territory,Government,All,12.6
2015,Northern Territory,Catholic,Primary,15.1
2015,Northern Territory,Catholic,Secondary,10.7
2015,Northern Territory,Catholic,All,12.7
2015,Northern Territory,Independent,Primary,15.9
2015,Northern Territory,Independent,Secondary,10.4
2015,Northern Territory,Independent,All,12.2
2015,Northern Territory,All non-government,Primary,15.5
2015,Northern Territory,All non-government,Secondary,10.5
2015,Northern Territory,All non-government,All,12.5
2015,Northern Territory,All,Primary,13.5
2015,Northern Territory,All,Secondary,11.4
2015,Northern Territory,All,All,12.6
2015,Australian Capital Territory,Government,Primary,14.6
2015,Australian Capital Territory,Government,Secondary,11.6
2015,Australian Capital Territory,Government,All,13.1
2015,Australian Capital Territory,Catholic,Primary,17.8
2015,Australian Capital Territory,Catholic,Secondary,13.2
2015,Australian Capital Territory,Catholic,All,15.3
2015,Australian Capital Territory,Independent,Primary,13.4
2015,Australian Capital Territory,Independent,Secondary,10.6
2015,Australian Capital Territory,Independent,All,11.8
2015,Australian Capital Territory,All non-government,Primary,16.1
2015,Australian Capital Territory,All non-government,Secondary,12.1
2015,Australian Capital Territory,All non-government,All,13.9
2015,Australian Capital Territory,All,Primary,15.1
2015,Australian Capital Territory,All,Secondary,11.8
2015,Australian Capital Territory,All,All,13.4
2015,Australia,Government,Primary,15.3
2015,Australia,Government,Secondary,12.7
2015,Australia,Government,All,14.2
2015,Australia,Catholic,Primary,16.9
2015,Australia,Catholic,Secondary,12.8
2015,Australia,Catholic,All,14.7
2015,Australia,Independent,Primary,14.1
2015,Australia,Independent,Secondary,10.5
2015,Australia,Independent,All,11.9
2015,Australia,All non-government,Primary,15.7
2015,Australia,All non-government,Secondary,11.7
2015,Australia,All non-government,All,13.4
2015,Australia,All,Primary,15.4
2015,Australia,All,Secondary,12.3
2015,Australia,All,All,13.9
2014,New South Wales,Government,Primary,15.6
2014,New South Wales,Government,Secondary,12.4
2014,New South Wales,Government,All,14.2
2014,New South Wales,Catholic,Primary,18.2
2014,New South Wales,Catholic,Secondary,13.1
2014,New South Wales,Catholic,All,15.3
2014,New South Wales,Independent,Primary,14.3
2014,New South Wales,Independent,Secondary,10.3
2014,New South Wales,Independent,All,11.8
2014,New South Wales,All non-government,Primary,16.6
2014,New South Wales,All non-government,Secondary,11.8
2014,New South Wales,All non-government,All,13.8
2014,New South Wales,All,Primary,15.9
